D,H,Beta,J,CT,CP,CQ,RPS
12,5.5,0.458333333,0.146335065,0.086970252,0.041939944,0.006678449,100.84764
12,5.5,0.458333333,0.14613789,0.087737148,0.041389004,0.006590568,100.9837077
12,5.5,0.458333333,0.146043241,0.087772104,0.041150567,0.006552769,101.0491537
12,5.5,0.458333333,0.146419297,0.086788632,0.041551979,0.006616708,100.789624
12,5.5,0.458333333,0.14604163,0.086294605,0.041152996,0.006553354,101.0502686
12,5.5,0.458333333,0.146217474,0.087011701,0.041293423,0.006575603,100.9287435
12,5.5,0.458333333,0.14639178,0.08633904,0.041336005,0.006582373,100.8085693
12,5.5,0.458333333,0.146380755,0.089274175,0.04128244,0.006573933,100.8161621
12,5.5,0.458333333,0.14602339,0.08469993,0.04097921,0.006525042,101.0628906
12,5.5,0.458333333,0.146147818,0.085750128,0.041212587,0.006562979,100.9768473
12,5.5,0.458333333,0.146254291,0.086787693,0.041122433,0.006548163,100.9033366
12,5.5,0.458333333,0.145908472,0.085481192,0.040640009,0.006471399,101.1424886
12,5.5,0.458333333,0.146328972,0.087439286,0.041240906,0.006567116,100.8518392
12,5.5,0.458333333,0.146520838,0.087107705,0.041330431,0.00658126,100.7197754
12,5.5,0.458333333,0.146437849,0.086131645,0.041340808,0.006583064,100.7768555
12,5.5,0.458333333,0.146269367,0.086773684,0.040904813,0.006513816,100.8929362
12,5.5,0.458333333,0.147159119,0.087829626,0.042118478,0.006707007,100.2829183
12,5.5,0.458333333,0.146537568,0.085633124,0.041170428,0.006555747,100.7082764
12,5.5,0.458333333,0.146556837,0.086533752,0.041542609,0.006615251,100.6950358
12,5.5,0.458333333,0.146555629,0.087346089,0.041221958,0.006563942,100.6958659
12,5.5,0.458333333,0.147192947,0.088117384,0.042016766,0.006690458,100.2598714
12,5.5,0.458333333,0.146908584,0.089075724,0.041405127,0.006593321,100.4539388
12,5.5,0.458333333,0.147004084,0.085298522,0.041556241,0.00661723,100.38868
12,5.5,0.458333333,0.147003023,0.089390803,0.041732072,0.006645154,100.3894043
12,5.5,0.458333333,0.147015251,0.088488917,0.041814746,0.006658269,100.3810547
12,5.5,0.458333333,0.147098001,0.088242684,0.041751305,0.006648194,100.324585
12,5.5,0.458333333,0.146698432,0.086991865,0.041343106,0.006583364,100.5978434
12,5.5,0.458333333,0.147174251,0.087967654,0.04211897,0.006706813,100.2726074
12,5.5,0.458333333,0.146626871,0.086559228,0.041161067,0.006554243,100.6469401
12,5.5,0.458333333,0.139646261,0.090066385,0.047648606,0.007534004,105.6780599
12,5.5,0.458333333,0.129422195,0.09444851,0.043735663,0.006964364,114.0263916
12,5.5,0.458333333,0.129232279,0.09311634,0.043424698,0.006914695,114.1939616
12,5.5,0.458333333,0.129133645,0.09238907,0.043096302,0.006862493,114.2811849
12,5.5,0.458333333,0.129409976,0.09507987,0.043517514,0.0069295,114.0371582
12,5.5,0.458333333,0.12946566,0.093787156,0.043160491,0.006872679,113.9881104
12,5.5,0.458333333,0.129256164,0.093380598,0.04307316,0.006858763,114.1728597
12,5.5,0.458333333,0.129319886,0.093339314,0.042983343,0.006844392,114.1166016
12,5.5,0.458333333,0.129659452,0.094327343,0.043457002,0.006920026,113.8177409
12,5.5,0.458333333,0.129434999,0.092937696,0.043119428,0.006866249,114.0151123
12,5.5,0.458333333,0.129151303,0.091627887,0.042502228,0.006767808,114.2655599
12,5.5,0.458333333,0.129742989,0.093746906,0.043309497,0.006896398,113.744458
12,5.5,0.458333333,0.129506878,0.09120099,0.042528704,0.006771956,113.9518311
12,5.5,0.458333333,0.129554019,0.092837111,0.042996616,0.00684655,113.9103678
12,5.5,0.458333333,0.129763312,0.093965235,0.043395278,0.006910075,113.7266439
